Target_Name,Content_Weigh,Style_Weight,Content_Loss,Style_Loss,Total_Loss
74.jpg,5,1000.0,14.113167762756348,14.17381763458252,14244.3828125
75.jpg,5,10000.0,18.940555572509766,534.73828125,5347477.5
76.jpg,5,10000.0,20.269567489624023,168.66943359375,1686795.75
77.jpg,5,10000.0,21.211585998535156,74.64006805419922,746506.75
78.jpg,5,10000.0,21.78867530822754,46.977691650390625,469885.84375
79.jpg,5,10000.0,22.16910743713379,33.130096435546875,331411.8125
80.jpg,5,10000.0,8.775568008422852,180.6659698486328,1806703.625
81.jpg,5,10000.0,9.594943046569824,118.89663696289062,1189014.375
82.jpg,5,10000.0,10.01347541809082,89.5802230834961,895852.3125
83.jpg,5,10000.0,10.26816177368164,71.10371398925781,711088.4375
84.jpg,5,10000.0,10.419132232666016,57.57960510253906,575848.1875
85.jpg,5,10000.0,11.954885482788086,155.23948669433594,1552454.625
86.jpg,5,10000.0,12.461342811584473,91.8436050415039,918498.375
87.jpg,5,10000.0,12.74233341217041,69.81600189208984,698223.6875
88.jpg,5,10000.0,12.919602394104004,56.687034606933594,566935.0
89.jpg,5,10000.0,13.055858612060547,46.874351501464844,468808.78125
90.jpg,5,10000.0,12.856551170349121,53.384681701660156,533911.125
91.jpg,5,10000.0,13.604331016540527,22.953996658325195,229607.984375
92.jpg,5,10000.0,14.093114852905273,13.474472999572754,134815.203125
93.jpg,5,10000.0,14.415886878967285,9.117791175842285,91249.9921875
94.jpg,5,10000.0,14.612208366394043,6.576125621795654,65834.3203125
95.jpg,5,10000.0,13.739216804504395,135.69139099121094,1356982.625
96.jpg,5,10000.0,13.860434532165527,59.471519470214844,594784.5
97.jpg,5,10000.0,13.982111930847168,35.266395568847656,352733.875
98.jpg,5,10000.0,14.094124794006348,22.24087905883789,222479.265625
99.jpg,5,10000.0,14.185298919677734,14.17837142944336,141854.640625
